language,headline,text,url,source
hausa,"Shirin Rana, 06/03/2026 GMT",Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban-daban na duniya. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban na duniya. Shiri ne a duk ranar Juma'a da ke baiwa masu sauraro damar bayyana ra'ayoyinsu. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban-daban na duniya. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban na duniya. © 2026 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,https://www.bbc.com/hausa/bbc_hausa_radio/w3ct87rc,bbc_scraped
hausa,"Ra’ayi Riga, 06/03/2026 GMT",Shiri ne a duk ranar Juma'a da ke baiwa masu sauraro damar bayyana ra'ayoyinsu. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban na duniya. Shiri ne a duk ranar Juma'a da ke baiwa masu sauraro damar bayyana ra'ayoyinsu. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban-daban na duniya. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban na duniya. © 2026 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,https://www.bbc.com/hausa/bbc_hausa_radio/w3ct87q7,bbc_scraped
hausa,BBC Hausa Rediyo,Labaran duniya da sharhi da kuma bayanai kan al'amuran yau da kullum daga sashin Hausa na BBC. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban na duniya. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban na duniya. Shiri ne a duk ranar Juma'a da ke baiwa masu sauraro damar bayyana ra'ayoyinsu. Shiri ne na minti 30 wanda ya kunshi labaru da rahotanni daga sassa daban-daban na duniya. © 2026 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,https://www.bbc.com/hausa/bbc_hausa_radio/liveradio,bbc_scraped
